E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
376549.832	6409743.657	12	67.8	3	16.95	B_4	2003
376756.099	6408620.724	12	68.6	3	17.15	B_40	2003
375825.581	6411579.359	18	125.8	4.5	31.45	B_41	2003
377638.748	6408816.099	10	111.8	2.5	27.95	B_42	2003
375677.994	6411790.938	16	88.2	4	22.05	B_46	2003
376455.583	6410731.03	2	14.6	0.5	3.65	B_47	2003
374395.483	6411524.005	0	0	0	0,0	B_48	2003
376954.483	6409389.039	50	321.4	12.5	80.35	B_49	2003
375635.741	6410977.477	46	373.467231923339	11.5	93.3668079808348	B_5	2003
375506.397	6411540.327	0	0	0	0,0	B_50	2003
377261.925	6408687.257	20	153.457708391687	5	38.3644270979217	B_51	2003
375030.602	6412047.051	2	8	0.5	2,0	B_52	2003
377151.286	6409360.326	72	501.2075199667	18	125.301879991675	B_53	2003
374690.858	6412120.356	16	123.4	4	30.85	B_55	2003
376617.143	6410277.761	2	6	0.5	1.5	B_56	2003
377579.503	6408948.919	2	4.5	0.5	1.125	B_58	2003
376353.008	6410791.958	2	0.6	0.5	0.15	B_6	2003
377586.789	6408577.793	2	23.1	0.5	5.775	B_63	2003
377318.672	6409018	134	600.785442383124	33.5	150.196360595781	B_65	2003
378032.397	6408758.721	6	71.1	1.5	17.775	B_66	2003
378758.412	6408480.358	34	207.4	8.5	51.85	B_67	2003
376933.853	6409501.331	12	103.4	3	25.85	B_68	2003
374547.176	6412405.909	50	309.975403825928	12.5	77.493850956482	B_69	2003
376955.993	6408906.984	80	402.959890022465	20	100.739972505616	B_7	2003
378015.245	6408425.932	0	0	0	0,0	B_70	2003
377741.536	6409014.707	58	316.009859712116	14.5	79.002464928029	B_71	2003
378055.756	6408442.382	2	25.84	0.5	6.46	B_73	2003
375672.928	6411438.986	62	457.2	15.5	114.3	B_74	2003
375741.186	6410972	12	58.4	3	14.6	B_75	2003
377669.719	6408647.663	0	0	0	0,0	B_76	2003
374581.241	6412552.436	24	165	6	41.25	B_77	2003
377106	6409251.441	4	8.13	1	2.0325	B_78	2003
375259.724	6412387.345	2	14	0.5	3.5	B_79	2003
378564.299	6408304.969	0	0	0	0,0	B_80	2003
374017.23	6413137.993	28	309	7	77.25	B_81	2003
375629.12	6411867.627	22	112.2	5.5	28.05	B_82	2003
375936.268	6411165.787	14	164.2	3.5	41.05	B_83	2003
377856.548	6409194.148	168	676.939774661336	42	169.234943665334	B_84	2003
373924.314	6412623.787	70	515.4	17.5	128.85	B_85	2003
375255.311	6411794.37	26	211.035982648162	6.5	52.7589956620405	B_86	2003
377074.292	6409660.906	6	42.4	1.5	10.6	B_88	2003
375740.485	6411213.025	74	492.872723649195	18.5	123.218180912299	B_89	2003
376809.46	6409396.541	14	101.54	3.5	25.385	B_9	2003
377219.496	6404537.02	6	37.8	3	18.9	C_1	2003
376117.023	6407003.968	0	0	0	0,0	C_10	2003
376085.464	6405374.275	38	252.626697358831	19	126.313348679416	C_11	2003
378160.911	6404321.64	0	0	0	0,0	C_12	2003
378028.83	6404068.915	8	82.2	4	41.1	C_13	2003
377896.738	6403816.192	0	0	0	0,0	C_14	2003
377194.063	6404556.871	48	210.8	24	105.4	C_15	2003
376358.466	6405026.45	78	545.525801314095	39	272.762900657048	C_16	2003
376572.591	6404051.399	10	80.4	5	40.2	C_17	2003
378385.81	6403550.024	10	66.4	5	33.2	C_18	2003
376083.847	6404577.228	0	0	0	0,0	C_19	2003
376415.273	6405357.19	14	102.6	7	51.3	C_2	2003
377318.873	6405180.709	2	14.6	1	7.3	C_20	2003
377382.433	6404361.769	2	17.2	1	8.6	C_21	2003
376110.234	6404575.861	0	0	0	0,0	C_22	2003
376989.422	6405716.784	10	96	5	48,0	C_23	2003
377677.178	6403920.197	2	20	1	10,0	C_24	2003
377286.086	6404033.063	2	30.6	1	15.3	C_25	2003
376895.965	6404164.442	24	201.251421654775	12	100.625710827387	C_26	2003
376682.557	6404898.451	2	15	1	7.5	C_27	2003
377499.457	6406116.808	50	340.970203594738	25	170.485101797369	C_28	2003
378127.598	6403674.539	6	44.6	3	22.3	C_29	2003
